Path0
-0.7268949,-21.47244,226.3605
1.675542,-23.14271,229.206
3.01003,-22.06932,232.7293
3.01003,-19.22483,236.839
5.104009,-16.28316,240.0879
6.436524,-15.70581,243.6581
7.007608,-17.11943,247.5634
7.007608,-17.11943,252.1917
7.007608,-17.11943,257.1983
7.007608,-17.11943,262.2051
8.670179,-16.65285,266.6329
11.80543,-13.59202,270.622
15.16647,-13.09658,274.9943
18.34315,-13.87198,279.2071
21.53644,-11.03454,283.52
24.75473,-10.61834,287.9454
27.987,-12.62385,292.4691
31.24081,-17.05323,297.1026
34.74546,-23.94617,302.1809
38.72595,-33.75976,308.0439
